video_id,video_title,video_one_level_classification,video_two_level_classification_list,video_tag_list,director_list,actor_list,country,language,release_date,storage_time,video_time,score,is_paid,package_id,is_single,is_trailers,supplier,introduction,number_of_plays_in_30_days,number_of_views_within_30_days,number_of_plays_in_14_days,number_of_views_within_14_days,number_of_plays_in_7_days,number_of_views_within_7_days,number_of_plays_in_3_days,number_of_views_within_3_days,abs_of_number_of_days_between_storage_and_current,number_of_times_purchased_within_30_days,number_of_times_purchased_within_14_days,number_of_times_purchased_within_7_days,number_of_times_purchased_within_3_days,number_of_times_purchased_total
1567635.0,辣条生产环境脏 监管部门须“露牙”,健康,[资讯],[资讯],"","","","",2015-03-27 00:00:00,2015-07-29 01:46:08,34.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,辣条生产环境脏，监管部门须“露牙”,"","","","","","","","",1730,"","","","",""
1570035.0,相亲才会赢,综艺,"[情感, 相亲]","[煽情, 爱情, 社会服务, 亲民, 国语, 草根, 节目, 社会, 生活, 相亲, 浙江卫视, 情感, 哲理, 大陆, 民生]",[卫芬],[卫芬],内地,国语,2014-04-04 00:00:00,2015-07-29 02:19:53,1747.0,7.1,0.0,NaN,0.0,0.0,爱奇艺,大型真实相亲节目，节目将为单身男女搭起相识、相知、相恋的鹊桥，男女双方微妙的情感变化以及最终能否牵手的悬念将贯穿节目始终。一大亮点是节目的真实性，相亲主角和应征者都是通过热线电话、短信及现场报名产生。观众不仅能从中体验到这一切，还可以通过各种方式与主人公交流。,3,3,3,3,3,3,3,3,1730,"","","","",""
1573035.0,报告教练 金大川唱歌 低沉嗓音获赞,娱乐,[综艺],"[八卦, 热点, 内地, 新闻, 国语, 综艺]","","",内地,国语,2015-07-31 00:00:00,2015-08-01 14:09:31,126.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,报告教练 金大川唱歌 低沉嗓音获赞,"","","","","","","","",1727,"","","","",""
1573635.0,中央决定给予郭伯雄开除党籍处分,资讯,[国内],[国内],"","",国内,"","",2015-08-01 14:11:02,85.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1727,"","","","",""
1574835.0,神秘境界 Balenciaga 2015秋冬男装广告,时尚,"[秋冬, 秀场, 欧美, 服饰]","[广告大片, 巴黎, 秋冬, 服饰, 服装]","","","","",2015-07-29 00:00:00,2015-08-01 14:13:10,61.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,神秘境界 Balenciaga 2015秋冬男装广告,"","","","","","","","",1727,"","","","",""
1575435.0,逾2000非法移民冲击英法海底隧道,资讯,[国际],[国际],"","","","","",2015-08-01 14:14:04,33.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1727,"","","","",""
1576635.0,民兵管加油：实拍犹他国民警备队为B-2空中加油,军事,[国际],[国际],"","","","",2015-07-29 00:00:00,2015-08-01 14:15:48,145.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1727,"","","","",""
1577235.0,经期如何呵护女性健康？,健康,[两性],[女性],"","","","",2015-07-28 00:00:00,2015-08-01 14:16:39,740.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,经期如何呵护女性健康？,"","","","","","","","",1727,"","","","",""
1579035.0,风湿性心脏病患者日常生活中注意的问题,健康,[常见病],[常见病],"","","","",2015-02-12 00:00:00,2015-08-02 02:30:37,93.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,风湿性心脏病患者日常生活中注意的问题,"","","","","","","","",1726,"","","","",""
1580235.0,法官方称德翼坠机事件或为人为故意导致,军事,[综合],[欧美],"","",欧美,"",2015-03-31 00:00:00,2015-08-02 02:43:30,88.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,"","","","","","","","","",1726,"","","","",""
1580835.0,美渲染中俄轰炸机意在B3,军事,[空军],[空军],"","","","",2014-09-26 00:00:00,2015-08-02 02:48:54,484.0,NaN,0.0,NaN,0.0,0.0,爱奇艺,更多高清拉风武器视频请关注爱奇艺军事，点击客户端下“更多”或直接访问爱奇艺网页版军事频道，也可关注爱奇艺军事官方微博，微博没有广告哦!,"","","","","","","","",1726,"","","","",""
